Sector,Ticker,Return,Max Volatility,Data-Driven Justification
Banking,SBIN.NS,277.6%,0.0367,Sector-Based Rationale (High Momentum)
Banking,J&KBANK.NS,326.7%,0.056,Sector-Based Rationale (High Momentum)
Banking,BANKBARODA.NS,412.4%,0.0476,Sector-Based Rationale (High Momentum)
IT,POLICYBZR.NS,54.6%,0.0533,Rolling Standard Deviation (Volatility Profile)
IT,OFSS.NS,202.6%,0.056,Sector-Based Rationale (High Momentum)
Pharma,MANKIND.NS,51.4%,0.0309,Seasonal Decomposition (Strong Cyclical Trends)
Pharma,NGLFINE.NS,-28.5%,0.0686,Rolling Standard Deviation (Volatility Profile)
Pharma,SPARC.NS,-31.6%,0.0519,Rolling Standard Deviation (Volatility Profile)
Pharma,NATCOPHARM.NS,-3.9%,0.0518,Rolling Standard Deviation (Volatility Profile)
FMCG,CARYSIL.NS,352.9%,0.0584,Sector-Based Rationale (High Momentum)
FMCG,BAJAJCON.NS,32.5%,0.0442,Rolling Standard Deviation (Volatility Profile)
Auto,BAJAJ-AUTO.NS,204.9%,0.032,Sector-Based Rationale (High Momentum)
Auto,BHARATFORG.NS,179.8%,0.0368,Sector-Based Rationale (High Momentum)
Energy,ASIANENE.NS,94.8%,0.0676,Rolling Standard Deviation (Volatility Profile)
Infra,LT.NS,229.2%,0.0328,Sector-Based Rationale (High Momentum)
Insurance,SBILIFE.NS,125.3%,0.0229,Sector-Based Rationale (High Momentum)
Insurance,STARHEALTH.NS,-50.5%,0.0423,Rolling Standard Deviation (Volatility Profile)
Iron & Steel,GPIL.NS,116.4%,0.291,Sector-Based Rationale (High Momentum)
Iron & Steel,JSWSTEEL.NS,201.3%,0.0386,Sector-Based Rationale (High Momentum)
Iron & Steel,TATASTEEL.NS,217.5%,0.0398,Sector-Based Rationale (High Momentum)
Logistics,ADANIPORTS.NS,198.8%,0.0669,Sector-Based Rationale (High Momentum)
Retailing,NYKAA.NS,-28.3%,0.0512,Rolling Standard Deviation (Volatility Profile)
Telecom,TATACOMM.NS,77.5%,0.0346,Seasonal Decomposition (Strong Cyclical Trends)
Telecom,IDEA.NS,7.7%,0.0857,Rolling Standard Deviation (Volatility Profile)
Power,ADANIPOWER.NS,1342.2%,0.0595,Sector-Based Rationale (High Momentum)
Power,ADANIGREEN.NS,-5.5%,0.0716,Rolling Standard Deviation (Volatility Profile)
