Stock,Allocated Amount (₹),Weight (%),Strategy Reasoning
OFSS.NS,108965.29,10.9,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
J&KBANK.NS,108051.84,10.81,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
MANKIND.NS,67745.4,6.77,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
SPARC.NS,65351.29,6.54,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
ADANIPORTS.NS,55406.02,5.54,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
ASIANENE.NS,53757.35,5.38,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
LT.NS,41535.9,4.15,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
CARYSIL.NS,40676.24,4.07,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
SBILIFE.NS,39618.33,3.96,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
SBIN.NS,35254.2,3.53,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
BAJAJ-AUTO.NS,31074.69,3.11,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
STARHEALTH.NS,29168.44,2.92,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
NYKAA.NS,28523.81,2.85,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
BHARATFORG.NS,27146.05,2.71,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
POLICYBZR.NS,26272.0,2.63,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
NATCOPHARM.NS,25301.87,2.53,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
TATACOMM.NS,25126.76,2.51,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
BANKBARODA.NS,24678.44,2.47,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
ADANIGREEN.NS,24390.55,2.44,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
TATASTEEL.NS,23974.25,2.4,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
ADANIPOWER.NS,22826.62,2.28,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
JSWSTEEL.NS,21917.67,2.19,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
NGLFINE.NS,21294.87,2.13,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
BAJAJCON.NS,20091.97,2.01,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
GPIL.NS,16170.55,1.62,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
IDEA.NS,15679.61,1.57,Ensemble Allocation: 50% Strategy A (Forecast-Guided) blended with 50% Strategy B (Inverse Volatility).
